transcription	normalisation
མཛདོུལ	མཛད་དུ་གསོལ
མ༹དའི	མཛད་པའི
མྱ༹ང	མཛད་བྱང
མ༹ད	མཛད
མཛསྴེ	མཛའ་བཤེས
མཛའོ	མཛའ་བོ
མཛུན	མཛའ་མཐུན
མེ༹སའི	མཛེས་པའི
མེ༹སྡན	མཛེས་ལྡན
མེ༹སྡུག	མཛེས་སྡུག
མེ༹ས	མཛེས
མཛཽྃ	མཛོ་མོ
མཛྶོར	མཛོ་སར
མ༹དོཔོན	མཛོད་དཔོན
མ༹དོག	མཛོད་བདག
མོ༹དནི	མཛོད་འཛིན
མ༹དོིན	མཛོད་ལྡན
མ༹ལྡོན	མཛོད་ལྡན
མ༹དོ	མཛོད
མར་མེཛད	མར་མེ་མཛད
མེར༹ད	མར་མེ་མཛད
མརེ	མར་མེ
མེར	མར་མེ
མྱིབ	མི་ཁྱབ
ྃནྱིསའི	མི་གནས་པའི
ནྱིཾས	མི་གནས
མིཡྱོ་	མི་གཡོ་
མྖིགོ	མི་ཆོག
མིང	མི་དང
མིཁས	མི་མཁས
མིགོ	མི་མགོ
མིངོན་པ	མི་མངོན་པ
མིཆོག	མི་མཆོག
མིཇེད	མི་མཇེད
མིཉཾ་པ	མི་མཉམ་པ
མིཐུནཉི	མི་མཐུན་ཉི
མིཐུནྙི	མི་མཐུན་ཉི
མིཐུན	མི་མཐུན
མིུན	མི་མཐུན
མིུསཚོད	མི་ནུས་ཚོད
ྃབྱི	མི་བྱ
མྱིོདེ	མི་བྱེད་དོ
མྱིདེ	མི་བྱེད
མྱིའོ་	མི་བྱྰོ་
མིཁྲེགིྃསལ	མི་མཁྲེག་མི་གསལ
མངིའ	མི་མངའ
མིཉལཉྃནྱསྱིདརླུང	མི་མཉམ་མཉམ་གནས་ཀྱི་རླུང
མིཐུནརྟཌ	མི་མཐུན་བརྟགས
མིཐུནལ	མི་མཐུན་ལ
མིཐུན	མི་མཐུན
མིི	མི་མི
མྱིུར	མི་འགྱུར
མིྱུར	མི་འགྱུར
མྲི	མི་འདྲ
མི་འཕྲོདཉི	མི་འཕྲོད་ཉི
མི་འཕྲོདྙི	མི་འཕྲོད་ཉི
མི་འཕྲོདྙི	མི་འཕྲོད་ཉི
མྲིོདཉི	མི་འཕྲོད་ཉི
ྃརྙྱོབེས	མི་རྙོབ་སླེབས
ྃལིཌེ་	མི་ལེགས་
ྃལྕིོཌདེྃ	མི་ལྕོགས་མེད
མིསུ	མི་ལུས
མིསླུས	མི་ལུས
མིུས	མི་ལུས
མླིུས	མི་ལུས
ིྃསྦྱོར	མི་སྦྱོར
མིསློབ	མི་སློབ
མློྃབ	མི་སློབ
མིགཅིག	མིག་གཅིག
མིགཉིས	མིག་གཉིས
མིགདངས་པ	མིག་གདངས་པ
མིགཡེར	མིག་གཡེར
མིགསུཾ་པ	མིག་གསུམ་པ
མིགི	མིག་གི
དམིར	མིག་དམར
མིར	མིག་དམར
མྲིུལ	མིག་འཕྲུལ
མིངུགས	མིང་གཟུགས
མྱིང༌	མིང་བྱང༌
མིངྶྟེ	མིང་སྟེ
མྲིང	མིང་སྲིང
མིནཾ	མིན་ནམ
མིནོ	མིན་ནོ
མྱུད	མུ་ཁྱུད
མེུ	མུ་གེ
མེུའི་བསྐལ་པ	མུ་གེའི་བསྐལ་པ
མིུག	མུ་ཏིག
མེུད	མུ་མེད
མེུན	མུ་མེན
མེུགས	མུ་སྙེགས
མེུགས	མུ་སྟེགས
མེུཊ	མུ་སྟེགས
མྟེུགས	མུ་སྟེགས
མྟེུཊ	མུ་སྟེགས
མུགི	མུག་གི
མུནག	མུན་ནག
མྲེཌོ་	མེ་གྲོགས་
མེསུཾ	མེ་གསུམ
མེྟོགིས	མེ་ཏོག་གིས
མྟེོགྃར	མེ་ཏོག་དམར
མྟེོགསེརོ	མེ་ཏོག་སེར་བོ་
མྟེོགསྨུགྕོན	མེ་ཏོག་སྨུག་པོ་ཅན
མེགོ	མེ་ཏོག
མེཏོག	མེ་ཏོག
མྟེོག	མེ་ཏོག
མོེག	མེ་ཏོག
མྟོེག	མེ་ཏོག
མྟེགོ	མེ་ཏོག
མེྟོག	མེ་ཏོག
མེ༹	མེ་བཙའ
མེཁའ	མེ་མཁའ
མེགལ	མེ་མགལ
མེཆེད་པ	མེ་མཆེད་པ
མེཉམ་གསང	མེ་མཉམ་གསང
མེདག	མེ་མདག
མེདའ	མེ་མདའ
མེཚམས	མེ་མཚམས
མེུར	མེ་མུར
མེོ	མེ་མོ
མེ༹ས	མེ་རྫས
མེ་ལེ༹ན	མེ་ལ་ཚེ་ཅན
མླེསྐྱེས	མེ་ལས་སྐྱེས
མེངོ༌	མེ་ལོང༌
མླེོང༌	མེ་ལོང༌
མོེང	མེ་ལོང
མློེང	མེ་ལོང
མྱེངོ	མེ་ལོང
མེློང	མེ་ལོང
མཏེར	མེ་ལྟར
མྟེར	མེ་ལྟར
མྷེ	མེ་ལྷ
མེདོ	མེད་དོ
མེདར་གྱུརིག	མེད་པར་གྱུར་ཅིག
མེདར	མེད་པར
མཻར	མེར་མེར
མེལེ༹	མེལ་ཚེ
མེལེ	མེལ་ཚེ
མེས་དབོན	མེས་པོ་དང་ཚ་བོ
མོུས	མོ་གུས
མྲཽུག	མོ་གྲུས་དྲག་པོ
མོ༹ན	མོ་མཚན
མྱོུད	མོ་རྒྱུད
མོནྲུ	མོན་གྲུ
མོནྲེ	མོན་གྲེ
མོནྲེ	མོན་དྲེ
མྲོན	མོན་སྲན
མྲོུགོ	མོས་གུས་དྲག་པོ
མོུས	མོས་གུས
མོསྒོཾ	མོས་སྒོམ
མོསྤྱོད	མོས་སྤྱོད
མྱནེད	མྱ་ངན་མེད
མྱངན	མྱ་ངན
མྱན	མྱ་ངན
མྱཾན	མྱ་ངན
མྱགོ	མྱག་མྱོག
མཌ་	མྱགས་
མྱངན	མྱང་ངན
མྱཱུར	མྱུར་མྱུར
མྱོངར	མྱོང་བར
ཙགི	ཙག་ཙིག
ཙྡན	ཙན་དན
ཙཱབ	ཙབ་ཙབ
ཙབུ	ཙབ་ཙུབ
ཙཾ	ཙམ
ཙིཙི	ཙི་ཙི
ཙིཚེའབྲུ	ཙི་ཚེ་འབྲུ
ཙོགུ	ཙོག་པུ
ཚོཾས་ཁ་	ཚ་མོས་ཁ་
ཚཟེར	ཚ་ཟེར
ཚགསུ	ཚགས་སུ
ཚངི༹	ཚང་ཚིང
ཚངསར	ཚངས་པར
ཚཾསྲེད	ཚངས་ཕྱེད
ཚངསྐུལ	ཚངས་བསྐུལ
ཚངསྐུད	ཚངས་སྐུད
ཚངསྐྱེས	ཚངས་སྐྱེས
ཚངསྤྱོད	ཚངས་སྤྱོད
ཚངསྲས	ཚངས་སྲས
ཚདགུང	ཚད་དགུང
ཚདུས	ཚད་དུས
ཚདཾ	ཚད་མ
ཚྨད	ཚད་མ
ཚདཾརི༹ན	ཚད་མར་འཛིན
ཚདེཾ	ཚད་མེད
ཚྃདེད	ཚད་མེད
ཚདས	ཚད་ཡས
ཚཱན་རིག་པ	ཚན་ཚན་རིག་པ
ཚམོ༹	ཚམ་ཚོམ
ཚརུ	ཚར་བུ
ཚིགུྃང	ཚི་གུ་མང
ཚིགཉན	ཚིག་གཉན
ཚིགསུཾ	ཚིག་གསུམ
ཚིགསུཾ	ཚིག་གསུམ
ཚིགི	ཚིག་གི
ཚིགིས	ཚིག་གིས
ཚྙིགོ	ཚིག་ཉོག
བཅད་ལྷུག	ཚིག་བཅད་དང་ལྷུག་མ
ཚིགང་	ཚིག་རྐང་
ཚིགད	ཚིགས་བཅད
ཚིགསད	ཚིགས་བཅད
ཚིགསུད	ཚིགས་སུ་བཅད
ཚིགསུལ	ཚིགས་སུལ
ཚིཌ	ཚིགས
ཚུཌ	ཚུགས
ཚུནདུ	ཚུན་ཆད་དུ
ཚུལྲིྃསུྃ་	ཚུལ་ཁྲིམས་གསུམ་
ཚུལྲིམས	ཚུལ་ཁྲིམས
ཚིུམས	ཚུལ་ཁྲིམས
ཚིུལྲཾས	ཚུལ་ཁྲིམས
ཚུྲིུ༹ས	ཚུལ་ཁྲིམས
ཚྲུལིམ	ཚུལ་ཁྲིམས
ཚྲིུ༹ཾས	ཚུལ་ཁྲིམས
ཚུལུགས	ཚུལ་ལུགས
ཚུལུཊ	ཚུལ་ལུགས
ཚུལྡན	ཚུལ་ལྡན
ཚེ་བསོད	ཚེ་དང་བསོད་ནམས
ཚེདཔགེདཾ	ཚེ་དཔག་མེད
ཚེྡང	ཚེ་དབང
ཚེསོད	ཚེ་བསོད
ཚེད	ཚེ་ཚད
ཚེེ	ཚེ་ཚེ
ཚེདས	ཚེ་འདས
ཚྡེས	ཚེ་འདས
ཚེངི༌	ཚེ་རིང༌
ཚེིངྱོནརོག	ཚེ་རིང་ལོ་བརྒྱ་ལོན་པར་ཤོག
ཚེདན	ཚེ་ལྡན
ཚྡེན	ཚེ་ལྡན
ཚྲེགོ	ཚེ་སྲོག
ཚྲོེག	ཚེ་སྲོག
ཚེུཾ	ཚེམ་བུ
ཚེརཾ	ཚེར་མ
ཚེསྱི	ཚེས་ཀྱི
ཚེསའི	ཚེས་པའི
ཚོཊདག	ཚོགས་བདག
བསག་སྦྱང	ཚོགས་བསག་པ་དང་སྡིག་པ་སྦྱང་བ
ཚོགསྦྱོར	ཚོགས་སྦྱོར
ཚོགསུ	ཚོགས་སུ
ཚོཌ	ཚོགས
ཚོཌ	ཚོགས
ཚོནོ	ཚོན་པོ
ཚོནི༹	ཚོན་རྩི
ཚོུཾ	ཚོམ་བུ
ཚོཾས	ཚོམས
ཆོསྱི་	ཚོས་ཀྱི་
ཆྒོསོ	ཚོས་གོས་
ཚོསླ	ཚོས་སླ
ཛམྦུའྖིུསྱེར	ཛམྦུའི་ཆུ་གསེར
ཝན	ཝ་ཅན
ཝརྣཾསྱིསྨྲས་པ	ཝ་རྣམས་ཀྱིས་སྨྲས་པ
ཝལེ	ཝ་ལེ
ཝལེ	ཝལ་ལེ
ཞྙེ	ཞ་ཉེ
ཞགསུཾ	ཞག་གསུམ
ཞགསུཾ	ཞག་གསུམ
ཞགཕུལྱིྃདེ	ཞག་འཕུལ་མི་བྱེད
ཞཌ་	ཞགས་
ཞངུ	ཞང་ཞུང
ཞབསྱི	ཞབས་ཀྱི
ཞབསྱིས	ཞབས་ཀྱིས
ཞྱུ	ཞབས་ཀྱུ
ཞབསཾ	ཞབས་མ
ཞྲེན	ཞབས་འདྲེན
ཞྲིང	ཞབས་འབྲིང
ཞབསུ	ཞབས་སུ
ཞབསེན	ཞབས་སེན
ཞརོ	ཞར་ཞོར
ཞལ་གདཾས	ཞལ་གདམས
ཞལྱི་གདཾས་པ	ཞལ་གྱི་གདམས་པ
ཞལྱི	ཞལ་གྱི
ཞཾལས	ཞལ་ཟས
ཞལ༹ས	ཞལ་ཟས
ཞལས	ཞལ་ཟས
ཞ༹ས	ཞལ་ཟས
ཞལག	ཞལ་ལག
ཞལྔ	ཞལ་ལྔ
ཞལྕེ	ཞལ་ལྕེ
ཞལྔར	ཞལ་སྔར
ཞིོ	ཞི་ཁྲོ
ཞོི	ཞི་ཁྲོ
ཞིནྱསྱི	ཞི་གནས་ཀྱི
ཞིུལ	ཞི་དུལ
ཞྲིག	ཞི་དྲག
ཞིའི	ཞི་བའི
ཞིགིས	ཞིག་གིས
ཞིངཁཾསུ	ཞིང་ཁམས་སུ
ཞིངསུཾ	ཞིང་ཁམས་སུ
ཞིངམས	ཞིང་ཁམས
ཞིངསཾ	ཞིང་ཁམས
ཞིསཾ	ཞིང་ཁམས
ཞིངེཊ	ཞིང་གཤེགས
ཞིངེན	ཞིང་ཆེན
ཞིེངན	ཞིང་ཆེན
ཞིངྣས	ཞིང་ནས
ཞིངྦའོ་	ཞིང་བའོ་
ཞིངས	ཞིང་ལས
ཞྱིསེ	ཞིང་སྐྱེས
ཞིངྱོ༌	ཞིང་སྐྱོང༌
ཞྱོིང	ཞིང་སྐྱོང
ཞིབཤེར	ཞིབ་བཤེར
ཞིབཾཐོང	ཞིབ་མཐོང
ཞིབསོ	ཞིབས་སོ
ཞིྃ་	ཞིམ་
ཞོུལ	ཞུ་གསོལ
ཞེུན	ཞུ་ཆེན
ཞུར	ཞུ་བར
ཞུཾན	ཞུ་མཁན
ཞིུད	ཞུ་མཆིད
ཞིུང༌	ཞུ་ཞིང༌
ཞིུག	ཞུ་ཡིག
ཞུགསླ	ཞུགས་སླ
ཞུཌ་	ཞུགས་
ཞུནཾསྲིས	ཞུན་མས་བྲིས་
ཞུབན	ཞུབ་ཅན
ཞུབེན	ཞུབ་ཆེན
ཞུམེད	ཞུམ་མེད
ཞེུཾད	ཞུམ་མེད
ཞཱུམ	ཞུམ་ཞུམ
ཞུསོ	ཞུས་སོ
ཞེསུཾ	ཞེ་གསུམ
ཞྲེག	ཞེ་དྲག
ཞེུསོ	ཞེ་ཞུས་སོ
ཞྡེང༌	ཞེ་སྡང༌
ཞེསྡང	ཞེ་སྡང
ཞེནཊ	ཞེན་ཆགས
ཞེསུངའི་དོན	ཞེས་གསུང་བའི་དོན
ཞྱེངོས	ཞེས་གསུང་སོ
ཞེསུངས་པ	ཞེས་གསུངས་པ
ཞེུངསོ	ཞེས་གསུངས་སོ
ཞེསུངསོ	ཞེས་གསུངས་སོ
ཞེསཔོ་	ཞེས་པའོ་
ཞེསའོ	ཞེས་པའོ
ཞེསྗོད	ཞེས་བརྗོད་པ
ཞེསྟཽད	ཞེས་བསྟོད་དོ
ཞེསྟོདོ	ཞེས་བསྟོད་དོ
ཞེུསོ	ཞེས་ཞུས་སོ
ཞེསོ	ཞེས་སོ
ཞེསོཌ་	ཞེས་སོགས་
ཞྙོལ	ཞོ་སྙལ
ཞོདྖོ	ཞོད་ཆེ
ཟཁངྀ	ཟ་ཁང
ཟྱེད	ཟ་བྱེད
ཟྃ་	ཟ་མ་
ཟཞིང	ཟ་ཞིང
ཟགྕསྯགེགད	ཟག་བཅས་ཟག་མེད
ཟགེདཾ	ཟག་མེད
ཟགེཾད	ཟག་མེད
ཟགྃདེ	ཟག་མེད
ཟེད	ཟག་མེད
ཟངསཡྱའ	ཟངས་གཡའ
ཟངལྕཌ	ཟངས་ལྕགས
ཟདེ	ཟད་དེ
ཟདྱེད	ཟད་བྱེད
ཟབརླིང	ཟབ་བརླིང
ཟབོཾ	ཟབ་མོ
ཟབསུ	ཟབས་སུ
ཟམུ	ཟམ་ཟུམ
ཟྃ	ཟམ
ཟརུ	ཟར་ཟུར
ཟསཉྱ	ཟས་གཉག
ཟསང་	ཟས་དང་
ཟསྕུད	ཟས་བཅུད
ཟསོད	ཟས་བསོད
ཟསུ	ཟས་སུ
ཟཱིང	ཟིང་ཟིང
ཟིནདྱང	ཟིན་ཀྱང
ཟིནར	ཟིན་པར
ཟིུང༌	ཟིན་ཕུང༌
ཟཱིམ	ཟིམ་ཟིམ
ཟིལཾ	ཟིལ་མ
ཟུངིག	ཟུང་གཅིག
ཟུངུ༹ད	ཟུང་ཚུད
ཟུངག	ཟུང་འཇུག
ཟུངུག	ཟུང་འཇུག
ཟུུཾག	ཟུང་འཇུག
ཟུངྲེལ	ཟུང་འབྲེལ
ཟུངོར	ཟུང་སྦྱོར
ཟུངྱོར	ཟུང་སྦྱོར
ཟུཾ	ཟུམ
ཟེརྕན	ཟེར་ཅན
ཟེརངི	ཟེར་ཞིང
ཟེརོ	ཟེར་རོ
ཟྣོས	ཟོས་ནས
ཟླཾ་གསིུམས	ཟླ་གམ་གསུམ་གྱིས
ཟླཾན	ཟླ་གམ་ཅན
ཟླཾ	ཟླ་གམ
ཟློ	ཟླ་བོ
ཟླ༹ན	ཟླ་མཚན
ཟླེ༹སཾ	ཟླ་མཛེས་མ
ཟླེ༹ས	ཟླ་ཚེས
ཟླེར	ཟླ་ཟེར
ཟླི༹ན	ཟླ་འཛིན
ཟློུཾ	ཟླུམ་པོ
ཟླཱུམ	ཟླུམ་ཟླུམ
ཟློསྐྱོན	ཟློས་སྐྱོན
འཁརིལ	འཁར་གསིལ
འཁརྔ	འཁར་རྔ
འཁོི༹ན	འཁོན་འཛིན
འོན	འཁོན
འཁོབྃ	འཁོབ་བམ
འཁོབལ	འཁོབ་བལ
འརོི་	འཁོར་གྱི་
འཁོརངས	འཁོར་དང་བཅས
འརོངས	འཁོར་དང་བཅས
འྲོངས	འཁོར་དང་བཅས
འཁོར་འདས	འཁོར་བ་དང་མྱང་འདས
འརོའི	འཁོར་བའི
འཁོརས	འཁོར་བཅས
འཁོརས	འཁོར་བཅས
འརོས	འཁོར་བཅས
འྲོས	འཁོར་བཅས
༅ཁོརངས	འཁོར་བསྲུངས
འཁྲོུརངས	འཁོར་བསྲུངས
འརོུངས	འཁོར་བསྲུངས
འོརུངས	འཁོར་བསྲུངས
འྲུཨོརང	འཁོར་བསྲུངས
འྲོུགནས	འཁོར་བསྲུངས
འརོདསོ	འཁོར་འདས་སོ
འཁོརས	འཁོར་འདས
འཁོརྡས	འཁོར་འདས
འཁྡོརས	འཁོར་འདས
འཁྡོས	འཁོར་འདས
འརོ་ཡུགི	འཁོར་ཡུག་གི
འཁོརྒྱལ	འཁོར་རྒྱལ
འཁོརོ་སྡོཾ་པ	འཁོར་ལོ་སྡོམ་པ
འཁཽར	འཁོར་ལོ
འཁོརོ	འཁོར་ལོ
འཁོོར	འཁོར་ལོ
འོར	འཁོར་ལོ
འོརོ	འཁོར་ལོ
འརཽ	འཁོར་ལོ
འཽར	འཁོར་ལོ
འཁཽརར	འཁོར་ལོར
འརོ	འཁོར
འོར	འཁོར
འཁྱགོ	འཁྱག་འཁྱོག
འཁྱཾས	འཁྱམས
འཁྱརོ	འཁྱར་འཁྱོར
འཁྲིགྱོར	འཁྲིག་སྦྱོར
འཁྲིལྱོར	འཁྲིལ་སྦྱོར
འཁྲོུ༹ད	འཁྲུག་རྩོད
འཁྲུངོ༌	འཁྲུག་ལོང༌
འཁྲུངསྐར	འཁྲུངས་སྐར
འཁྲུཾསོ	འཁྲུངས་སོ
ཁྲུངསོ	འཁྲུངས་སོ,
འཁྲོུར	འཁྲུལ་འཁོར
འཁྲོུརོ	འཁྲུལ་འཁོར
འགགེཾད	འགག་མེད
འགེཾད	འགག་མེད
འགེམྡ	འགག་མེད
འགགཾཨེད	འགག་མེད
འགིག	འགའ་ཞིག
འགིགི	འགའ་ཞིག་གི
འགལྱེན་བརད	འགལ་རྐྱེན་བར་ཆད
འགལྱེན	འགལ་རྐྱེན
འགུཌ་	འགུགས་
འགུམསུ	འགུམས་སུ
འགཽ	འགོ་བོ
འགོང	འགོང་པོ
འགོངོ	འགོང་པོ
འགོངའི	འགོང་བའི
འགོདཀའོ་	འགོད་དཀའའོ་
འགོནོ	འགོན་པོ
གའོའ	འགོའ
འགྱརུ	འགྱར་འགྱུར
འགྱེུད	འགྱུ་བྱེད
འགྱུརེད	འགྱུར་མེད
འགྱུརེཾད	འགྱུར་མེད
འགྱུརོ	འགྱུར་རོ
འགྱོཌ	འགྱོགས
འགྲིཾས	འགྲིམས
འགྲུབྱ	འགྲུབ་བྱ
འགྲུབྱོར	འགྲུབ་སྦྱོར
འགྲོུར	འགྲུབ་སྦྱོར
འགྲཽཊ	འགྲོ་གྲོགས
འགྲཽན	འགྲོ་དོན
འགྲོུག	འགྲོ་དྲུག
འགྲོུག	འགྲོ་དྲུག
འགྲོ་སྡོད	འགྲོ་བ་དང་སྡད་པ
འགྲོན	འགྲོ་མགན
འགྲཽན	འགྲོ་མགོན
འགྲཽན	འགྲོ་མགོན
འགྲོགྱུརང	འགྲོ་འགྱུར་དང
འགྲོནུ	འགྲོན་བུ
འཆགསོ	འཆགས་སོ
འཆཊོ	འཆགས་སོ
འཆབྱེད	འཆབ་བྱེད
འཆལོ	འཆལ་ལོ
འཆིག	འཆི་བདག
འཆྡིག	འཆི་བདག
འཆི་མེདབང་མོ	འཆི་མེད་དབང་མོ
འཆིདེོཾ	འཆི་མེད་དབང་མོ
འཆིདེ	འཆི་མེད
འཆིེད	འཆི་མེད
འཆིོར	འཆི་སྦྱོར
འཆྱིོར	འཆི་སྦྱོར
འཆྱོིར	འཆི་སྦྱོར
འཆོསྐྱོབ	འཆོས་སྐྱོབ
འཇབེ༹	འཇབ་ཙེ
འཇཾལྱིངས	འཇམ་དཔལ་གྱི་དབྱངས
འཇཾལྱི	འཇམ་དཔལ་གྱི
འཇཾལྱིས	འཇམ་དཔལ་གྱིས
འཇཾལ་རྡོེ	འཇམ་དཔལ་རྡོ་རྗེ
འཇཾལ	འཇམ་དཔལ
འཇཾངས	འཇམ་དབྱངས
འཇཾཡངས	འཇམ་དབྱངས
འཇྱཾངས	འཇམ་དབྱངས
འཇྱཾངས	འཇམ་དབྱངས
འཇམགོན	འཇམ་མགོན
འཇཾགོན	འཇམ་མགོན
འཇམཉེན	འཇམ་མཉེན
འཇ༹ཾསེ	འཇམ་མཛེས
འཇཾརྡོར	འཇམ་རྡོར
འཇཾང༌	འཇམ་ལྗང༌
འཇཾ	འཇམ
འôན་	འཇའ་ཆོན
འཇོན	འཇའ་ཆོན
འཇོ༹ན	འཇའ་ཚོན
ཇོ༹ན	འཇའ་ཚོན
ཇའོདང	འཇའ་འོད་དང
འཇའོད	འཇའ་འོད
འཇོའད	འཇའ་འོད
འཇིགྙི	འཇིག་ཉི
འཇིགྲེན	འཇིག་འདྲེན
འཇིགསེརཐུབ	འཇིག་གསེར་ཐུབ
འཇིགེན་གསུཾ	འཇིག་རྟེན་གསུམ
འནིེམེའིསྲདི	འཇིག་རྟེན་མིའི་སྲིད་པ
འཇིགེན	འཇིག་རྟེན
འཇིནེ	འཇིག་རྟེན
འཇིེན	འཇིག་རྟེན
འིཏེན	འཇིག་རྟེན
འིནེ	འཇིག་རྟེན
འིེན	འཇིག་རྟེན
འཇིཌེན	འཇིགས་རྟེན
འཇིཊེད	འཇིགས་བྱེད
འཇྱིདེ	འཇིགས་བྱེད
འཇྱིེད	འཇིགས་བྱེད
འཇིཊེདཾ	འཇིགས་མེད
འཇིཊ་སུ	འཇིགས་སུ
འཇིགསྐྲག	འཇིགས་སྐྲག
འཇིཌ	འཇིགས
འཇིབྱེད	འཇིབ་བྱེད
འཇོུག	འཇུག་ལྡོག
འཇུཾད	འཇུར་མདུད
འཇོེག	འཇོ་སྒེག
འཇོགོས	འཇོག་དགོས
འཇྱོདེ	འཇོམས་བྱེད
འཇྱོམད	འཇོམས་བྱེད
འཇོཾས	འཇོམས
འཇོལོ	འཇོལ་མོ
འཇཽལ	འཇོལ་འཇོལ
འཐདཾ	འཐད་དམ
འཐབྲལ	འཐབ་བྲལ
འཐཱས	འཐས་འཐས
འཐཱུལ	འཐུལ་འཐུལ
འཐོརླུང	འཐོར་རླུང
འདབདག	འདབ་བདག
འདབཟང	འདབ་བཟང
འདབརྒྱ	འདབ་བརྒྱ
འདབརྒྱད	འདབ་བརྒྱད
འདབསུ	འདབས་སུ
འདཾ༹བ	འདམ་རྫབ
འདཾ	འདམ
འདརང	འདར་དང
འདསར	འདས་པར
འདསོ	འདས་སོ
འདིག	འདི་དག
འདིེས	འདི་བཞེས
འདིརེཊ	འདིར་གཤེགས
འདེུད	འདུ་བྱེད
འདྲོུད	འདུ་འཕྲོད
འདྲུལ	འདུ་འབྲལ
འདིུ༹	འདུ་འཛི
འདེུས	འདུ་ཤེས
འདུགནས	འདུག་གནས
འདུགིན	འདུག་གིན
འདུགོ	འདུག་གོ
འདུལིཛནཆྱོྃ	འདུན་འཛིན་མཆོག
འདུལྱེད	འདུལ་བྱེད
འདུསོ	འདུས་སོ
འདེབསཔོ	འདེབས་པའོ
འདེབསུ	འདེབས་སུ
འདྲོུག	འདོ་དྲུག
འདོདི	འདོད་ཀྱི
འདོདཾས	འདོད་ཁམས
འདོདགས	འདོད་ཆགས
འདོདཊ	འདོད་ཆགས
འདོདགུ	འདོད་དགུ
འདོུས	འདོད་དུས
འདོདྲལ	འདོད་བྲལ
འདཽདན	འདོད་ཡོན
འདོདོན	འདོད་ཡོན
འདཽན	འདོད་ཡོན
འདོལྡན	འདོད་ལྡན
འདོདསྲེདཇིགྲེད	འདོད་སྲེད་འཇིག་དྲེད
འདོཾན	འདོན་མཁན
འདཽལ	འདོལ་འདོལ
འདོལྃ	འདོལ་ལམ
འདྲཔེ	འདྲ་དཔེ
འདྲེཀར	འདྲེ་དཀར
འདྲེས༹ལ	འདྲེས་ཚལ
འདྲོཌ་	འདྲོགས་
འཕྱའི	འཕགས་པའི
འཕགསོ	འཕགས་སོ
འཕགསྐྱེསོ	འཕགས་སྐྱེས་པོ
འཕྱ	འཕགས
འཕེཾན	འཕེན་མཁན
འཕེབསོ	འཕེབས་སོ
འཕེལྱི	འཕེལ་གྱི
འཕེལྙི	འཕེལ་ཉི
འཕེལྱོགས	འཕེལ་ཕྱོགས
འཕེལྱོཊ	འཕེལ་ཕྱོགས
འཕྱེོཊ	འཕེལ་ཕྱོགས
འཕྲོང	འཕོ་བྲང
འཕོངསྐྱོབཾ	འཕོངས་སྐྱོབ་མ
འཕྲེན	འཕྲ་ཆེན
ཕྲིསྲུབརྃཛད་	འཕྲིན་ལས་འགྲུབ་པར་མཛོད་
ཕྲིསྒྲུབས	འཕྲིན་ལས་སྒྲུབས
ཕྲིས	འཕྲིན་ལས
འཕྲིནས	འཕྲིན་ལས
འཕྲིས	འཕྲིན་ལས
འཕྲུལོར	འཕྲུལ་འཁོར
འཕྲོུར	འཕྲུལ་འཁོར
འཕྲེདུ	འཕྲེད་དུ
འཕྲིནས	འཕྲིན་ལས
འཕྲོགསོ	འཕྲོགས་སོ
འབགུ	འབག་འབུག
འབདར	འབད་པར
འབེཾད	འབད་མེད
འབོ༹ལ	འབད་རྩོལ
འབབྱེད	འབབ་བྱེད
འབགི	འབའ་ཞིག
འབཻརུ	འབའ་རེ་འབུར་རེ
འབརུ	འབར་འབུར
འབིཌདེ	འབིགས་བྱེད
འབིཌ	འབིགས
འབུགྲོགྶགྶགྶགྶིགགུལནས	འབུ་གྲོག་སག་སག་སག་སིག་འགུལ་ནས
འབུནག	འབུ་ནག
འབུཾག	འབུམ་ཕྲག
འབྲུཾག	འབུམ་ཕྲག
འབུམོ་	འབུམ་མོ་
འབུཾ	འབུམ
འབཱུར	འབུར་འབུར
འབོདུངོ༌	འབོད་དུ་འོང༌
འབྱཾས་པ	འབྱམས་པ
འབྱུངས	འབྱུང་ཁུངས
འབྱུངས	འབྱུང་གནས
འབྱུངོ༌	འབྱུང་པོ
འབྱོུང	འབྱུང་པོ
འབུཾ	འབུམ
འབྱཾས	འབྱམས
འབྱེུད	འབྱེད་སྡུད
འབྲལདུྃ	འབྲལ་འདུམ
འབྲསཀར	འབྲས་དཀར
འབྲསགེ	འབྲས་དགེ
འབྲས་བུཞི	འབྲས་བུ་བཞི
འབྲུསསྐྱེད	འབྲས་བུ་བསྐྱེད
འབྲུས	འབྲས་བུ
འབྲསེནོ	འབྲས་རྗེན་པོ
འབྲསེན	འབྲས་རྗེན
འབྲསིལ	འབྲས་སིལ
འབྲསྤུངས	འབྲས་སྤུངས
འབྲུངས	འབྲས་སྤུངས
འབྲོུགས	འབྲུ་བོགས
འབྲུ༹	འབྲུ་ཚ
འབྲུསྨནོ་	འབྲུ་སྨན་ནོ
འབྲུགི་ལོ	འབྲུག་གི་ལོ
འབྲུགི	འབྲུག་གི
འབྲུཾ་བུ	འབྲུམ་བུ
འབྲེལེཾད	འབྲེལ་མེད
འཚབུ	འཚབ་འཚུབ
འཚཾར	འཚམ་པར
འཚུཾ	འཚམ་ཞུ
འཚཾདེ	འཚམས་མེད
འཚེམད	འཚམས་མེད
འཚུཾས	འཚམས་ཞུས
